size,run1,run2,run3
1,0,0,0
6,97,78,140
11,515,540,495
16,1105,1120,993
21,1617,1277,2021
26,2155,2379,2681
31,3365,3415,3558
36,4844,4812,5134
41,5951,6803,5704
46,9180,9071,8798
51,10622,8955,9376
56,14377,13301,10043
61,14939,16055,15076
66,18537,18842,16313
71,17894,21912,19027
76,23058,23226,22028
81,26467,25101,24275
86,29055,23947,27048
91,31952,34213,32605
96,36241,40359,37268
101,38278,34507,39270
106,45500,44221,43062
111,47539,55221,52518
116,52242,52289,52275
121,62395,61894,54500
126,63844,61024,59323
131,70314,70512,72222
136,69583,79443,73265
141,82165,78104,70491
146,86366,84729,80060
151,90798,92704,86170
156,102588,87103,87120
161,101598,95004,98582
166,109415,100284,107514
171,120722,116690,118214
176,117323,126573,106338
181,131861,126961,131502
186,140697,127454,126374
191,158695,137618,139026
196,150575,147971,152598
