size,run1,run2,run3
1,5,15,15
6,61,93,92
11,171,189,171
16,293,264,281
21,451,403,453
26,565,559,558
31,744,764,701
36,774,842,807
41,933,963,975
46,1058,1159,1094
51,1261,1175,1306
56,1340,1403,1472
61,1492,1587,1634
66,1851,1758,1788
71,1855,1974,1947
76,2051,2027,2275
81,2183,2161,2158
86,2396,2355,2448
91,2541,2493,2496
96,2862,2754,2608
101,2984,2765,2994
106,2935,3039,3211
111,3328,3201,3123
116,3396,3320,3241
121,3579,3613,3601
126,3790,3667,3594
131,3890,4143,3881
136,4159,3955,3944
141,4241,4224,4215
146,4392,4393,4310
151,4545,4774,4596
156,4848,5030,4822
161,4898,5017,5006
166,5207,5336,5298
171,5249,5247,5239
176,5412,5570,5523
181,5293,5551,5521
186,5774,6187,5727
191,6111,5832,5953
196,6340,6380,6449
